我的天啊 我要跟你battle一下[赞] 0⁠7⁠-⁠3⁠1⁠
差不多姑婆 0⁠7⁠-⁠3⁠1⁠
乔碧萝应该比姑婆年龄大的多吧 0⁠7⁠-⁠3⁠0⁠
@秋与思c 4⁠小⁠时⁠前⁠
好牛的大妈 昨⁠天⁠2⁠0⁠:⁠1⁠4⁠
@黑乔格       🤍 battle一下 昨⁠天⁠2⁠0⁠:⁠0⁠6⁠
@Melody 差不多哈哈哈 昨⁠天⁠1⁠9⁠:⁠2⁠2⁠
@632❤️ 昨⁠天⁠1⁠7⁠:⁠5⁠3⁠
永远爱姑婆 昨⁠天⁠1⁠7⁠:⁠0⁠3⁠
@丞味🍊仙女 昨⁠天⁠1⁠6⁠:⁠4⁠6⁠
@wear 昨⁠天⁠1⁠5⁠:⁠3⁠2⁠
@Always 昨⁠天⁠1⁠4⁠:⁠2⁠7⁠
笑死了 昨⁠天⁠1⁠2⁠:⁠3⁠9⁠
@小佳爱吃糖 卧槽哈哈哈哈 昨⁠天⁠0⁠0⁠:⁠2⁠0⁠
姑婆教教我怎追到易烊千玺[玫瑰] 2⁠天⁠前⁠
喜欢罗姑婆[呲牙] 2⁠天⁠前⁠
@晚晚 2⁠天⁠前⁠
转发 • [捂脸][捂脸][捂脸][捂脸] 2⁠天⁠前⁠
@Kikyo 2⁠天⁠前⁠
曾经我也是个姑娘 扎心了 2⁠天⁠前⁠
@哈哈哈 2⁠天⁠前⁠
@卡戎卡戎 2⁠天⁠前⁠
天哪[泪奔][泪奔][泪奔][泪奔][泪奔] 2⁠天⁠前⁠
@Zmy. 2⁠天⁠前⁠
@🌙 @肥仔阿静 2⁠天⁠前⁠
@匆匆那年 我竟然听了好几遍，还怪好听[呲牙] 2⁠天⁠前⁠
@甜甜的糖果🍭 2⁠天⁠前⁠
@Der啊荡🐰 2⁠天⁠前⁠
@Nice 3⁠天⁠前⁠
老年迪斯扣[捂脸] 3⁠天⁠前⁠
@与我私奔 3⁠天⁠前⁠
粉了粉了 3⁠天⁠前⁠
罗姑婆，太喜剧了 1⁠2⁠-⁠1⁠8⁠
@王有胜 1⁠2⁠-⁠1⁠8⁠
想兮爷了，饭饭永远在等那个女孩💜💜 1⁠2⁠-⁠1⁠8⁠
@小李睡不够. 1⁠2⁠-⁠1⁠8⁠
哈哈哈紫棋点赞了 1⁠2⁠-⁠1⁠8⁠
@😕 为大妈代言哈哈 1⁠2⁠-⁠1⁠8⁠
swag！！！ 1⁠2⁠-⁠1⁠8⁠
邓紫棋点赞罗大妈[捂脸] 1⁠2⁠-⁠1⁠8⁠
@Cosion 我们的差不多 1⁠2⁠-⁠1⁠8⁠
@恩 @红豆。 @Tian @小可爱 1⁠2⁠-⁠1⁠8⁠
重庆老乡呀，姑婆太可爱了，还喜欢你们这一对姐妹花 1⁠2⁠-⁠1⁠8⁠
哈哈，罗姑婆 1⁠2⁠-⁠1⁠8⁠
赞！参加中国新说唱吧[呲牙] 1⁠2⁠-⁠1⁠8⁠
必须赞 1⁠2⁠-⁠1⁠8⁠
@QianRui 1⁠2⁠-⁠1⁠8⁠
@朵拉今天摇头了 好洗脑[捂脸] 1⁠2⁠-⁠1⁠8⁠
想问姑婆，谁给您编曲写词 1⁠2⁠-⁠1⁠8⁠
@鲁班七号结婚123 1⁠2⁠-⁠1⁠7⁠
@幺儿园园长张小盆友 @源 1⁠2⁠-⁠1⁠7⁠
我要死了 1⁠2⁠-⁠1⁠7⁠
@周咻咻 1⁠2⁠-⁠1⁠7⁠
@小蒋蒋蒋蒋蒋蒋 笑死我了[捂脸][捂脸] 1⁠2⁠-⁠1⁠7⁠
邓紫棋点赞了[灵光一闪] 1⁠2⁠-⁠1⁠7⁠
@$ 1⁠2⁠-⁠1⁠7⁠
@兰漂亮 1⁠2⁠-⁠1⁠7⁠
转发 • 邓紫棋点赞了[泪奔][泪奔] 1⁠2⁠-⁠1⁠7⁠
哦豁 1⁠2⁠-⁠1⁠7⁠
@中意陈立农鸭 牛牛牛 1⁠2⁠-⁠1⁠6⁠
